id,ka_adi,ka_tip,il_ilce,ilan_tarihi,revizyon_tarihi,alan_ha,ecosystem_type,ecosystem_id,drought_severity,groundwater_sensitivity,fault_distance_m,wetland_proximity_risk,protected_area_importance,drought_norm,groundwater_sensitivity_norm,wetland_proximity_risk_norm,protected_area_importance_norm,ecosystem_water_sensitivity_score
tabiatparki.494,DINAR_PINARLI_TP,TabiatParklari,Afyonkarahisar-Dinar,2020-03-13 21:00:00+00:00,,239.21,Nature Park,236,0.8816666666666667,0.8,3446.6483419825363,0.0,0.0025675070167373005,0.8816666666666667,1.0,0.0,0.0025675070167373005,0.6089684593858439
tabiatparki.199,KARATAS_TP,TabiatParklari,Adana-Karatas,2011-07-10 21:00:00+00:00,,29.8671511407,Nature Park,111,0.88,0.8,838.2605365563886,0.0,0.000290746529319339,0.88,1.0,0.0,0.000290746529319339,0.6080436119793979
tabiatparki.263,AMAZON_TP,TabiatParklari,Samsun-Terme,2015-09-20 21:00:00+00:00,,562.5872386,Nature Park,134,0.59,0.8,88872.87784735447,1.0,0.006672393555441561,0.59,1.0,0.5,0.006672393555441561,0.6075008590333162
tabiatparki.619,MALABADI_TP,TabiatParklari,Batman-Kozluk,2011-07-10 21:00:00+00:00,2019-03-11 21:00:00+00:00,95.9561583,Nature Park,278,0.8733333333333334,0.8,17692.516127234932,0.0,0.0010230656285272592,0.8733333333333334,1.0,0.0,0.0010230656285272592,0.6058201265109457
tabiatparki.89,BAFA GÖLÜ_TP,TabiatParklari,"Aydin-Söke, Aydin-Didim, Mugla-Milas",1994-07-07 21:00:00+00:00,,11842.0731943,Nature Park,64,0.8183333333333334,0.8,16002.822581243296,0.0,0.12663554111208497,0.8183333333333334,1.0,0.0,0.12663554111208497,0.6054119978334793
tabiatparki.310,BELEMEDIK_TP,TabiatParklari,"Adana-Karaisali, Adana-Pozanti",2014-12-01 22:00:00+00:00,,4349.1013,Nature Park,152,0.8516666666666666,0.8,2315.0010071214483,0.0,0.04629826185805805,0.8516666666666666,1.0,0.0,0.04629826185805805,0.6050280726120421
milliparklar.235,MANYAS KUSCENNETI_MP,MilliParklar,"Balikesir-Bandirma, Balikesir-Manyas",1959-07-26 22:00:00+00:00,,17058.365108,National Park,17,0.7833333333333333,0.8,11338.045169296263,0.0,0.1965846851745481,0.7833333333333333,1.0,0.0,0.1965846851745481,0.6036543694428489
milliparklar.65,KURE_DAGLARI_MP,MilliParklar,"Bartin-Kurucasile, Kastamonu-Pinarbasi, Kastamonu-Senpazar, Bartin-Amasra, Bartin-Ulus, Bartin-Bartin_Merkez Ilçe, Kastamonu-Cide, Kastamonu-Azdavay",2000-07-06 21:00:00+00:00,,37753.3752005,National Park,8,0.6716666666666667,0.8,65079.051263953006,0.0,0.4559536177460726,0.6716666666666667,1.0,0.0,0.4559536177460726,0.6034763759952443
milliparklar.504,HAKKARI CILO VE SAT DAGLARI_MP,MilliParklar,"Hakkari-Semdinli, Hakkari-Hakkari_Merkez Ilçe, Hakkari-Yüksekova",2020-09-25 21:00:00+00:00,,27500.0,National Park,28,0.74,0.8,106.96832781248257,0.0,0.2933595740698761,0.74,1.0,0.0,0.2933595740698761,0.6030039361104813
tabiatparki.488,GÖGEM ZAFER_TP,TabiatParklari,Usak-Usak_Merkez Ilçe,2018-05-15 21:00:00+00:00,2019-03-11 21:00:00+00:00,150.2452032,Nature Park,232,0.8616666666666667,0.8,12372.588057182831,0.0,0.0016382726631945287,0.8616666666666667,1.0,0.0,0.0016382726631945287,0.6018290742328125
milliparklar.536,KARATEPE ASLANTAS_MP,MilliParklar,"Osmaniye-Kadirli, Osmaniye-Düziçi",1958-05-28 22:00:00+00:00,,4142.90862971,National Park,35,0.8433333333333334,0.8,5981.257316545932,0.0,0.04397719380204967,0.8433333333333334,1.0,0.0,0.04397719380204967,0.601763245736974
tabiatparki.359,YEDIKAPI_TP,TabiatParklari,Afyonkarahisar-Bolvadin,2018-05-28 21:00:00+00:00,,215.8602842,Nature Park,171,0.855,0.8,17759.340495751527,0.0,0.0023770091432827847,0.855,1.0,0.0,0.0023770091432827847,0.5996065513714923
milliparklar.80,AGRIDAGI_MP,MilliParklar,"Igdir-Aralik, Igdir-Karakoyunlu, Igdir-Igdir_Merkez Ilçe, Agri-Dogubayazit",2004-11-16 22:00:00+00:00,,88014.803651,National Park,14,0.4266666666666667,0.8,3059.724371633192,0.0,1.0,0.4266666666666667,1.0,0.0,1.0,0.5993333333333334
milliparklar.72,MARMARIS_MP,MilliParklar,"Mugla-Marmaris, Mugla-Köycegiz",1996-03-07 22:00:00+00:00,,29206.0219929,National Park,12,0.72,0.8,2854.8804060604966,0.0,0.30694822410308836,0.72,1.0,0.0,0.30694822410308836,0.5980422336154633
tabiatparki.589,MAVI BOGAZ_TP,TabiatParklari,"Konya-Akören, Konya-Bozkir",2021-12-21 21:00:00+00:00,,530.0,Nature Park,271,0.8433333333333334,0.8,33505.625020049345,0.0,0.005739074590010271,0.8433333333333334,1.0,0.0,0.005739074590010271,0.5960275278551682
tabiatparki.539,HUZURLU_TP,TabiatParklari,"Osmaniye-Osmaniye_Merkez Ilçe, Gaziantep-Islahiye",2016-04-21 21:00:00+00:00,2021-10-27 21:00:00+00:00,150.0,Nature Park,250,0.8433333333333334,0.8,9955.187957032711,0.0,0.001559803594254784,0.8433333333333334,1.0,0.0,0.001559803594254784,0.5954006372058048
tabiatparki.257,KADINÇAYIRI_TP,TabiatParklari,"Kastamonu-Kastamonu_Merkez Ilçe, Çankiri-Ilgaz",2012-09-04 21:00:00+00:00,,422.048071494,Nature Park,130,0.8416666666666667,0.8,127.84023607350518,0.0,0.004968867727397365,0.8416666666666667,1.0,0.0,0.004968867727397365,0.5953286634924428
milliparklar.646,ISTIKLAL_YOLU_TARIHI_MP,MilliParklar,"Kastamonu-Kastamonu_Merkez Ilçe, Kastamonu-Küre, Çankiri-Çankiri_Merkez Ilçe, Kastamonu-Inebolu, Çankiri-Korgun, Kastamonu-Seydiler, Çankiri-Ilgaz",2018-11-01 21:00:00+00:00,,235.7,National Park,43,0.8416666666666667,0.8,18338.8479904431,0.0,0.0027745872303920386,0.8416666666666667,1.0,0.0,0.0027745872303920386,0.594999521417892
tabiatparki.203,KENBAG_TP,TabiatParklari,Çankiri-Çankiri_Merkez Ilçe,2011-07-10 21:00:00+00:00,,35.9982837044,Nature Park,115,0.8416666666666667,0.8,3466.713778730071,0.0,0.00039984431194780017,0.8416666666666667,1.0,0.0,0.00039984431194780017,0.5946433099801254
milliparklar.507,SPIL DAGI_MP,MilliParklar,"Manisa-Sehzadeler, Izmir-Kemalpasa, Manisa-Yunusemre",1968-04-21 22:00:00+00:00,,6801.02620794,National Park,29,0.805,0.8,3975.8807175989746,0.0,0.07484319563887426,0.805,1.0,0.0,0.07484319563887426,0.5929764793458311
tabiatparki.409,TILLO_TP,TabiatParklari,Siirt-Tillo,2014-08-28 21:00:00+00:00,,40.1504659,Nature Park,194,0.8366666666666666,0.8,6456.740044486935,0.0,0.00041318324043948014,0.8366666666666666,1.0,0.0,0.00041318324043948014,0.5928953108193993
tabiatparki.490,SIKLIK_TP,TabiatParklari,Çorum-Çorum_Merkez Ilçe,2009-07-07 21:00:00+00:00,2020-10-12 21:00:00+00:00,272.0,Nature Park,233,0.835,0.8,995.0490169130633,0.0,0.0031512193466953857,0.835,1.0,0.0,0.0031512193466953857,0.5927226829020042
