id,kentAtlasiDegeriKodu,kentAtlasiDegeri,gecirimsizlikKatmani,tucbsNo,aciklama,gecerlilikBaslangici,gecerlilikSonu,gozlemTarihi,hilucsAraziKullanimi,hilucsDurumu,olcek,surumBaslangicZamani,surumBitisZamani,total_population,estimated_water_supply,population_pressure,urban_water_stress_score
sehirAtlasi.606,13400,Mevcut Kullanımı Olmayan Alanlar,0,CBSGM_1_7976331,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.3901285301022432,0.0,0.0
sehirAtlasi.607,13400,Mevcut Kullanımı Olmayan Alanlar,0,CBSGM_1_7976332,,2019-09-12 00:00:00+00:00,,,,,1:10000,,,0.0,1.3697696705720348,0.0,0.0
sehirAtlasi.608,21000,Ekilebilir Alanlar,0,CBSGM_1_7976333,,2019-11-15 00:00:00+00:00,,,,,1:10000,,,0.0,1.4305770244476514,0.0,0.0
sehirAtlasi.609,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7976334,,2019-05-22 00:00:00+00:00,,,,,1:10000,,,0.0,0.6723758973949232,0.0,0.0
sehirAtlasi.610,32000,Maki veya Otsu Bitkiler,0,CBSGM_1_7976335,,2019-05-23 00:00:00+00:00,,,,,1:10000,,,0.0,0.6724100601697517,0.0,0.0
sehirAtlasi.611,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7976336,,2019-01-01 00:00:00+00:00,,,,,1:10000,,,0.0,0.5713497777053234,0.0,0.0
sehirAtlasi.612,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976337,,2019-05-23 00:00:00+00:00,,,,,1:10000,,,0.0,0.6506014013214394,0.0,0.0
sehirAtlasi.613,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7976338,,2019-01-01 00:00:00+00:00,,,,,1:10000,,,0.0,0.637921655518611,0.0,0.0
sehirAtlasi.614,11100,Sürekli Kentsel Alan (> 80%),50,CBSGM_1_1398978,,2019-02-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.8312085484961538,0.0,0.0
sehirAtlasi.615,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7976339,,2019-01-01 00:00:00+00:00,,,,,1:10000,,,0.0,0.660455922924891,0.0,0.0
sehirAtlasi.616,12220,Diğer Yollar ve İlgili Alanlar,0,CBSGM_1_7976340,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.3468996111783618,0.0,0.0
sehirAtlasi.617,11100,Sürekli Kentsel Alan (> 80%),67,CBSGM_1_1398979,,2019-02-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.569939222489594,0.0,0.0
sehirAtlasi.618,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),0,CBSGM_1_7976341,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.4054951695376174,0.0,0.0
sehirAtlasi.619,12120,Ticaret Alanları,0,CBSGM_1_7976342,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.3811355980479028,0.0,0.0
sehirAtlasi.620,11100,Sürekli Kentsel Alan (> 80%),36,CBSGM_1_1398980,,2019-02-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.5568243489414344,0.0,0.0
sehirAtlasi.621,22000,Sürekli Ürünler,0,CBSGM_1_7976343,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.3792533260960396,0.0,0.0
sehirAtlasi.622,13400,Mevcut Kullanımı Olmayan Alanlar,0,CBSGM_1_7976344,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.4104652095516594,0.0,0.0
sehirAtlasi.623,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),0,CBSGM_1_7976345,,2019-05-24 00:00:00+00:00,,,,,1:10000,,,0.0,1.3957761088718073,0.0,0.0
sehirAtlasi.596,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_7976321,,2019-06-11 00:00:00+00:00,,,,,1:10000,,,0.0,1.1397298649890544,0.0,0.0
sehirAtlasi.594,23000,Mera Alanları,0,CBSGM_1_7976319,,2019-06-11 00:00:00+00:00,,,,,1:10000,,,0.0,1.1670620942018985,0.0,0.0
sehirAtlasi.565,11100,Sürekli Kentsel Alan (> 80%),69,CBSGM_1_8036697,,2019-02-27 00:00:00+00:00,,,,,1:10000,,,0.0,0.5331574419991608,0.0,0.0
sehirAtlasi.593,12220,Diğer Yollar ve İlgili Alanlar,13,CBSGM_1_7984540,,2019-02-04 00:00:00+00:00,,,,,1:10000,,,0.0,0.6854927140871813,0.0,0.0
sehirAtlasi.566,11100,Sürekli Kentsel Alan (> 80%),37,CBSGM_1_8036698,,2019-03-13 00:00:00+00:00,,,,,1:10000,,,0.0,0.626378458570765,0.0,0.0
sehirAtlasi.567,11100,Sürekli Kentsel Alan (> 80%),92,CBSGM_1_8036699,,2019-02-27 00:00:00+00:00,,,,,1:10000,,,0.0,0.561821930496389,0.0,0.0
sehirAtlasi.568,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),10,CBSGM_1_7984520,,2019-02-07 00:00:00+00:00,,,,,1:10000,,,0.0,0.6593747319494991,0.0,0.0
sehirAtlasi.569,12210,Hızlı Transit Yollar ve İlgili Alanlar,0,CBSGM_1_7984522,,2019-02-04 00:00:00+00:00,,,,,1:10000,,,0.0,0.7599953259914767,0.0,0.0
sehirAtlasi.570,12210,Hızlı Transit Yollar ve İlgili Alanlar,0,CBSGM_1_7984524,,2019-12-03 00:00:00+00:00,,,,,1:10000,,,0.0,0.8084181246238751,0.0,0.0
sehirAtlasi.571,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_8409883,,2019-05-28 00:00:00+00:00,,,,,1:10000,,,0.0,1.1225359258324805,0.0,0.0
sehirAtlasi.572,11100,Sürekli Kentsel Alan (> 80%),57,CBSGM_1_7984525,,2019-02-20 00:00:00+00:00,,,,,1:10000,,,0.0,1.2171236147461149,0.0,0.0
sehirAtlasi.573,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),0,CBSGM_1_8409884,,2019-05-29 00:00:00+00:00,,,,,1:10000,,,0.0,0.9267413461041193,0.0,0.0
sehirAtlasi.574,21000,Ekilebilir Alanlar,0,CBSGM_1_8409885,,2019-05-28 00:00:00+00:00,,,,,1:10000,,,0.0,1.11537104398336,0.0,0.0
sehirAtlasi.575,12150,Eğitim Alanları,29,CBSGM_1_7984526,,2019-05-29 00:00:00+00:00,,,,,1:10000,,,0.0,0.6723279546313073,0.0,0.0
