id_1,adi,id_2,akifer,groundwater_sensitivity,id,istno,last1month,last3month,last6month,last12month,last24month,last9month,drought_severity,area,agricultural_area_pressure,drought_norm,groundwater_norm,final_water_stress_score,agricultural_water_stress_score
isletmesinirlari.86,KKARABEKİR TİM,akifersinirlari.103299,Verimli,0.8,spikuraklikindeks.39.922699999999999.44.052300000000002,17100,0.02,-0.48,0.79,0.44,0.82,0.42,0.4266666666666667,1913185.0093807548,0.005531863890118029,0.36296296296296293,1.0,0.5144397061113569,0.5144397061113569
isletmesinirlari.86,KKARABEKİR TİM,akifersinirlari.103319,Verimli,0.8,spikuraklikindeks.39.922699999999999.44.052300000000002,17100,0.02,-0.48,0.79,0.44,0.82,0.42,0.4266666666666667,1913185.0093807548,0.005531863890118029,0.36296296296296293,1.0,0.5144397061113569,0.5144397061113569
isletmesinirlari.86,KKARABEKİR TİM,akifersinirlari.103416,Verimli,0.8,spikuraklikindeks.39.922699999999999.44.052300000000002,17100,0.02,-0.48,0.79,0.44,0.82,0.42,0.4266666666666667,1913185.0093807548,0.005531863890118029,0.36296296296296293,1.0,0.5144397061113569,0.5144397061113569
isletmesinirlari.86,KKARABEKİR TİM,akifersinirlari.103436,Verimli,0.8,spikuraklikindeks.39.922699999999999.44.052300000000002,17100,0.02,-0.48,0.79,0.44,0.82,0.42,0.4266666666666667,1913185.0093807548,0.005531863890118029,0.36296296296296293,1.0,0.5144397061113569,0.5144397061113569
isletmesinirlari.86,KKARABEKİR TİM,akifersinirlari.106644,Verimli,0.8,spikuraklikindeks.39.922699999999999.44.052300000000002,17100,0.02,-0.48,0.79,0.44,0.82,0.42,0.4266666666666667,1913185.0093807548,0.005531863890118029,0.36296296296296293,1.0,0.5144397061113569,0.5144397061113569
isletmesinirlari.86,KKARABEKİR TİM,akifersinirlari.106664,Verimli,0.8,spikuraklikindeks.39.922699999999999.44.052300000000002,17100,0.02,-0.48,0.79,0.44,0.82,0.42,0.4266666666666667,1913185.0093807548,0.005531863890118029,0.36296296296296293,1.0,0.5144397061113569,0.5144397061113569
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.35788,Verimli,0.8,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,56030.17584589353,0.00016144560357414785,0.7462962962962962,1.0,0.6858656224540481,0.6858656224540481
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.35788,Verimli,0.8,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,56030.17584589353,0.00016144560357414785,0.7999999999999999,1.0,0.7100322891207148,0.7100322891207148
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36310,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,680248.0949742185,0.001966524677834436,0.7462962962962962,0.4999999999999999,0.5112266382689001,0.5112266382689001
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36310,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,680248.0949742185,0.001966524677834436,0.7999999999999999,0.4999999999999999,0.5353933049355668,0.5353933049355668
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36333,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,507939.6505624382,0.0014682525875997017,0.7462962962962962,0.4999999999999999,0.5111269838508532,0.5111269838508532
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36333,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,507939.6505624382,0.0014682525875997017,0.7999999999999999,0.4999999999999999,0.5352936505175199,0.5352936505175199
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36361,Sınırlı Verimli,0.5,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,6661222.91370745,0.019261978970542167,0.7462962962962962,0.4999999999999999,0.5146857291274417,0.5146857291274417
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36361,Sınırlı Verimli,0.5,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,6661222.91370745,0.019261978970542167,0.7999999999999999,0.4999999999999999,0.5388523957941084,0.5388523957941084
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36835,Verimsiz,0.2,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,1047142.0582267178,0.0030274884778873487,0.7462962962962962,0.0,0.3364388310289108,0.3364388310289108
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36835,Verimsiz,0.2,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,1047142.0582267178,0.0030274884778873487,0.7999999999999999,0.0,0.3606054976955775,0.3606054976955775
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36840,Verimsiz,0.2,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,144673.8975377631,0.0004177806464931134,0.7462962962962962,0.0,0.33591688946263193,0.33591688946263193
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.36840,Verimsiz,0.2,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,144673.8975377631,0.0004177806464931134,0.7999999999999999,0.0,0.3600835561292986,0.3600835561292986
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38750,Verimsiz,0.2,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,51161.02993067718,0.00014736527500339733,0.7462962962962962,0.0,0.335862806388334,0.335862806388334
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38750,Verimsiz,0.2,spikuraklikindeks.39.743699999999997.37.002000000000002,17090,-0.88,-1.59,-0.31,-1.92,-1.77,-1.29,0.82,51161.02993067718,0.00014736527500339733,0.7999999999999999,0.0,0.36002947305500066,0.36002947305500066
isletmesinirlari.87,ULAŞ TİM,akifersinirlari.38753,Verimsiz,0.2,spikuraklikindeks.39.242800000000003.37.389000000000003,17762,-1.07,-1.81,-1.06,-1.63,-0.7,-1.31,0.7716666666666666,264528.8178334245,0.0007643705183041419,0.7462962962962962,0.0,0.33598620743699414,0.33598620743699414
